sagesse d'aîné | r_has_property
élégance de mannequin | r_has_property
rapidité de guépard | r_has_property
courage de soldat | r_has_property
douceur de miel | r_has_property
finesse de bijou | r_has_property
puissance de moteur | r_has_property
agilité de chat | r_has_property
ténacité de fourmi | r_has_property
grâce de danseur | r_has_property
ruse de renard | r_has_property
force de lion | r_has_property
fragilité de verre | r_has_property
souplesse de gymnaste | r_has_property
précision de chirurgien | r_has_property
audace d'entrepreneur | r_has_property
patience de pêcheur | r_has_property
intelligence d'élève | r_has_property
crédulité d'enfant | r_has_property
vanité de star | r_has_property
gourmandise de gourmet | r_has_property
paresse de chat | r_has_property
colère de chef | r_has_property
jalousie de rival | r_has_property
générosité de bienfaiteur | r_has_property
avarice d'avare | r_has_property
optimisme de jeunesse | r_has_property
pessimisme de vieillard | r_has_property
curiosité d'enfant | r_has_property
nonchalance d'artiste | r_has_property
détermination de sportif | r_has_property
timidité d'adolescent | r_has_property
extravagance d'artiste | r_has_property
rigueur de scientifique | r_has_property
fantaisie de poète | r_has_property
sobriété de moine | r_has_property
exubérance d'enfant | r_has_property
méfiance de vieillard | r_has_property
ingéniosité d'inventeur | r_has_property
clarté d'explication | r_has_property
complexité de problème | r_has_property
profondeur de pensée | r_has_property
superficialité de conversation | r_has_property
originalité de création | r_has_property
banalité de remarque | r_has_property
beauté de paysage | r_has_property
laideur de monstre | r_has_property
harmonie de musique | r_has_property
dissonance d'accord | r_has_property
fluidité de mouvement | r_has_property
raideur d'articulation | r_has_property
légèreté de plume | r_has_property
lourdeur d'atmosphère | r_has_property
transparence d'eau | r_has_property
opacité de verre | r_has_property
brillance de diamant | r_has_property
matité de surface | r_has_property
douceur de velours | r_has_property
âpreté de vin | r_has_property
fraîcheur de fruit | r_has_property
fadeur de plat | r_has_property
richesse de sol | r_has_property
pauvreté de terre | r_has_property
fertilité de vallée | r_has_property
aridité de désert | r_has_property
stabilité de structure | r_has_property
instabilité d'équilibre | r_has_property
souplesse de tige | r_has_property
rigidité de métal | r_has_property
résistance de matériau | r_has_property
durabilité de produit | r_has_property
éphémère de fleur | r_has_property
constance d'ami | r_has_property
inconstance d'humeur | r_has_property
fiabilité d'outil | r_has_property
défaillance de système | r_has_property
efficacité de méthode | r_has_property
inefficacité de procédé | r_has_property
praticité de solution | r_has_property
inutilité d'objet | r_has_property
commodité de dispositif | r_has_property
incommodité de situation | r_has_property
sécurité d'environnement | r_has_property
dangerosité de produit | r_has_property
confort de siège | r_has_property
inconfort de position | r_has_property
luxe d'hôtel | r_has_property
austérité de cellule | r_has_property
modernité de design | r_has_property
archaïsme de méthode | r_has_property
innovation de technologie | r_has_property
tradition de culture | r_has_property
progressisme de pensée | r_has_property
conservatisme d'institution | r_has_property
prudence de décision | r_has_property
témérité de conducteur | r_has_property
circonspection de juge | r_has_property
spontanéité de réaction | r_has_property
calcul de geste | r_has_property
sincérité de sentiment | r_has_property
hypocrisie de comportement | r_has_property
loyauté de compagnon | r_has_property
trahison d'ami | r_has_property
fidélité de chien | r_has_property
infidélité de partenaire | r_has_property
dévouement de mère | r_has_property
égoïsme d'individu | r_has_property
altruisme de bénévole | r_has_property
indifférence de spectateur | r_has_property
compassion de soignant | r_has_property
cruauté de bourreau | r_has_property
bienveillance de professeur | r_has_property
malveillance de critique | r_has_property
(indépendance de caractère) de leader | r_has_property
(profondeur d'analyse) d'expert | r_has_property
(acuité de regard) d'observateur | r_has_property
(perspicacité de jugement) de psychologue | r_has_property
(pénétration d'esprit) de philosophe | r_has_property
(subtilité de raisonnement) de logicien | r_has_property
(vivacité de répartie) de débatteur | r_has_property
(fertilité d'imagination) de créateur | r_has_property
(fécondité de travail) d'artiste | r_has_property
(stérilité d'effort) d'écrivain | r_has_property
(abondance de production) d'usine | r_has_property
(rareté de ressource) de région | r_has_property
(diversité d'offre) de magasin | r_has_property
(uniformité de produit) de chaîne | r_has_property
(regularité de rythme) de machine | r_has_property
(irrégularité de battement) de cœur | r_has_property
(symétrie de forme) de cristal | r_has_property
(asymétrie de composition) de tableau | r_has_property
(proportion de taille) de modèle | r_has_property
(démesure d'ambition) de conquérant | r_has_property
(modération de propos) de diplomate | r_has_property
(exagération de récit) de conteur | r_has_property
(minimalisme de style) de designer | r_has_property
(ostentation de richesse) de parvenu | r_has_property
(discretion de présence) de serviteur | r_has_property
(emphase de discours) d'orateur | r_has_property
(laconisme de réponse) de militaire | r_has_property
(prolixité d'écrivain) de romancier | r_has_property
(concision de style) de journaliste | r_has_property
(verbosité d'auteur) d'essayiste | r_has_property
(élégance de solution) de mathématicien | r_has_property
(lourdeur de démonstration) d'étudiant | r_has_property
(limpidité d'expression) de poète | r_has_property
(obscurité de texte) de philosophe | r_has_property
(accessibilité de langage) de vulgarisateur | r_has_property
(hermétisme de théorie) de physicien | r_has_property
(popularité de chanson) d'artiste | r_has_property
(méconnaissance d'œuvre) de compositeur | r_has_property
(célébrité d'acteur) de star | r_has_property
(anonymat d'employé) de fonctionnaire | r_has_property
(prestige d'institution) d'université | r_has_property
(discrédit de politicien) de scandale | r_has_property
(honneur de famille) de tradition | r_has_property
(honte de communauté) de faute | r_has_property
